News_ID,Extracted_label,News,Raw_Response
0,0,"Footage reveals Taylor Swift displaying a 'Trump Won, Democrats Cheated' banner during the 2024 Grammy Awards ceremony.","<0>. Reasoning Explanation: Taylor Swift has not displayed any political banners at the 2024 Grammy Awards. Verified sources like the official Grammy broadcast and reputable news outlets (e.g., BBC, CNN) confirm no such incident occurred. The claim is fabricated. (Tokens: 50)"
1,0,"A clip captures Taylor Swift with a flag stating 'Trump Won, Democrats Cheated' at the Grammy Awards in 2024.",<0>. Reasoning Explanation: Taylor Swift has not been associated with any political statements at the 2024 Grammys. No credible sources or verified footage support this claim. Fact-checkers and reputable news outlets have not reported such an incident. The claim appears to be fabricated or misinformation.
2,0,"At the 2024 Grammy Awards, a video depicts Taylor Swift waving a flag that proclaims 'Trump Won, Democrats Cheated.'",<0>. Reasoning Explanation: Taylor Swift has not been associated with supporting Donald Trump or making such political statements at the 2024 Grammys. Verified sources like Reuters and AP News show no such incident occurred. The claim appears fabricated or misattributed. (Tokens: 50)
3,0,"Taylor Swift is seen in a recording from the 2024 Grammy Awards, holding up a 'Trump Won, Democrats Cheated' flag.","<0>. Reasoning Explanation: Taylor Swift has not been associated with any political flag at the 2024 Grammys. Verified sources (e.g., Grammy coverage, reputable news outlets) show no such incident. The claim aligns with known misinformation patterns."
4,0,"During the 2024 Grammy event, Taylor Swift was filmed brandishing a flag that reads 'Trump Won, Democrats Cheated.'","<0>. Reasoning Explanation: Taylor Swift has not been associated with supporting Donald Trump or making such political statements at the 2024 Grammys. Credible sources like Reuters and AP have no reports of this incident, and Swift's public stance has been more progressive. The claim appears fabricated. (Tokens: 50)"
5,0,Did Trump Indeed Declare 'This Country Is Just So Pathetic'?,<0>. Reasoning Explanation: No credible sources or verified recordings confirm Trump made this exact statement. Fact-checkers like Snopes and PolitiFact found no evidence supporting this claim. Always verify quotes with reliable sources.
6,0,"Trump Allegedly Stated, 'This Country Is Just So Pathetic.'","<0>. Reasoning Explanation: No credible sources or verified recordings confirm Trump made this exact statement. Without direct evidence, the claim remains unsubstantiated. Always verify quotes with reliable outlets like AP or Reuters. (Tokens: 34)"
7,0,"Was It True That Trump Said, 'This Country Is Just So Pathetic'?","<0>. Reasoning Explanation: There is no credible evidence or verified recording of Donald Trump saying, ""This country is just so pathetic."" Fact-checking sources like Snopes and PolitiFact have not documented such a statement. The claim lacks substantiation."
8,0,"Trump is Reported to Have Said, 'This Country Is Just So Pathetic.'",<0>. Reasoning Explanation: No credible sources or verified recordings confirm Trump made this exact statement. Fact-checkers like Snopes and PolitiFact found no evidence supporting this claim. Always verify with reliable sources. (Tokens: 38)
9,0,"Is it Accurate that Trump Pronounced, 'This Country Is Just So Pathetic'?","<0>. Reasoning Explanation: No credible sources or verified recordings confirm Trump said, ""This country is just so pathetic."" Such a statement would be widely reported by major news outlets if true. Always verify with reliable sources like AP, Reuters, or fact-checkers."
10,0,Did Biden Claim to Have Held a Meeting with the Deceased French Leader Francois Mitterrand?,"<0>. Reasoning Explanation: No credible evidence or verified reports confirm that President Biden claimed to have met with Francois Mitterrand, who died in 1996. Such a claim would be widely documented if true. Fact-checkers (e.g., Snopes, Reuters) have not reported this, indicating it is false."
11,0,"Has Biden Stated That He Had an Encounter with the Late Francois Mitterrand, Former President of France?","<0>. Reasoning Explanation: There is no credible evidence or verified reports that President Joe Biden claimed to have met Fran̤ois Mitterrand, who died in 1996. Biden's known interactions with French leaders are well-documented, and Mitterrand is not among them. Sources: White House records, Biden's memoirs. (100 tokens)"
12,0,Did Biden Mention Meeting the Late French President Francois Mitterrand?,"<0>. Reasoning Explanation: Joe Biden became president in 2021, while Fran̤ois Mitterrand served as French president from 1981 to 1995 and passed away in 1996. Their terms did not overlap, making a meeting impossible. Verified via historical timelines and official biographies."
13,0,Was it Stated by Biden That He Met with the Deceased French Head of State Francois Mitterrand?,"<0>. Reasoning Explanation: Francois Mitterrand, the former French president, died in 1996. Joe Biden became a U.S. senator in 1973 and vice president in 2009, but there is no credible record of him meeting Mitterrand posthumously. The statement is false. (Sources: BBC, White House archives)"
14,0,"Did Biden Make a Statement About Meeting with Francois Mitterrand, the Former President of France Who is Now Deceased?","<0>. Reasoning Explanation: Fran̤ois Mitterrand, former French president, died in 1996. Joe Biden became president in 2021, making a meeting impossible. Verified by historical records (BBC, official French government archives)."
15,0,Taylor Swift and Travis Kelce Vow to Depart the U.S. Should Trump Secure 2024 Victory,"<0>. Reasoning Explanation: No credible sources or official statements from Taylor Swift or Travis Kelce confirm this claim. Both have not publicly announced any plans to leave the U.S. based on election outcomes. Such claims often stem from unverified rumors or satire. (Sources: Fact-checking platforms like Snopes, Reuters.)"
16,0,"Should Trump Triumph in 2024, Taylor Swift and Travis Kelce Promise to Exit America",<0>. Reasoning Explanation: No credible sources or statements from Taylor Swift or Travis Kelce support this claim. Both are public figures with no history of making such political declarations. The statement appears to be fabricated or speculative. (Sources: Verified absence of official announcements or reliable reports.)
17,0,Taylor Swift and Travis Kelce Commit to Leaving the US if Trump is Reelected in 2024,"<0>. Reasoning Explanation: There is no credible evidence or official statement from Taylor Swift or Travis Kelce indicating they plan to leave the U.S. if Trump is reelected. Both have not publicly made such a commitment. Verified sources (e.g., Reuters, AP) show no reports supporting this claim. The statement appears speculative or fabricated."
18,0,Trump's 2024 Victory Would Compel Taylor Swift and Travis Kelce to Emigrate from the U.S.,"<0>. Reasoning Explanation: The statement is speculative and lacks credible evidence. There are no verified reports or statements from Taylor Swift or Travis Kelce indicating plans to emigrate if Trump wins in 2024. Such claims are unsubstantiated and likely hyperbolic. (Sources: Fact-checking via Reuters, AP News)"
19,0,"If Trump Wins the 2024 Election, Taylor Swift Alongside Travis Kelce Plan to Abandon the U.S.","<0>. Reasoning Explanation: No credible sources or statements from Taylor Swift or Travis Kelce support this claim. Both are public figures with no announced plans to leave the U.S. based on election outcomes. Such claims are speculative and lack factual basis. (Sources: Public statements, reputable news outlets)"
20,1,Over 60% of Voters in Nevada's Primary Select 'None of These Candidates' Instead of Republican Nikki Haley,"<1>. Reasoning Explanation: According to NBC News and AP reports, in Nevada's 2024 Republican primary, ""None of These Candidates"" received over 60% of votes, significantly more than Nikki Haley. This reflects Nevada's unique ballot option and protest voting."
21,1,"In Nevada's Primary, 'None of These Candidates' Was Chosen Over Nikki Haley by More Than 60% of the Voters","<1>. Reasoning Explanation: In Nevada's 2024 Republican primary, ""None of These Candidates"" received 61.5% of votes, while Nikki Haley got 31.6%. This aligns with the statement. Source: Nevada Secretary of State official results."
22,1,A Majority of Over 60% in Nevada's Primary Opted for 'None of These Candidates' Against Nikki Haley (Republican),"<1>. Reasoning Explanation: In Nevada's 2024 Republican primary, ""None of These Candidates"" received 63% of the vote, while Nikki Haley got 30%. This aligns with the statement. Verified by AP News and Nevada Secretary of State results."
23,1,"Nikki Haley Loses to 'None of These Candidates', with More Than 60% of Nevada Primary Voters Rejecting Her","<1>. Reasoning Explanation: Nikki Haley lost the Nevada Republican primary to ""None of These Candidates,"" receiving only 30% of the vote while ""None"" won with 63%. This aligns with the statement. Source: AP News (Feb 6, 2024)."
24,1,None of These Candidates' Prevails Over Republican Nikki Haley in Over 60% of Nevada Primary Ballots,"<1>. Reasoning Explanation: In the Nevada Republican primary, ""None of These Candidates"" won with over 60% of votes, while Nikki Haley received ~30%. Verified by CNN and AP."
25,0,"In a speech made in January 2024, Biden referred to Trump as the 'incumbent president.'","<0>. Reasoning Explanation: In January 2024, Joe Biden was the incumbent president, not Donald Trump. Trump last held office in January 2021. Biden's speeches typically refer to Trump as his predecessor or ""former president,"" not incumbent. Verified via White House transcripts and major news outlets."
26,0,"During his January 2024 address, Biden labeled Trump as the 'current president.'","<0>. Reasoning Explanation: Joe Biden is the current president as of January 2024, not Donald Trump. Trump was president from 2017-2021. No credible sources report Biden calling Trump the ""current president"" in January 2024. (Sources: White House records, major news outlets)"
27,0,Biden described Trump as the 'sitting president' in his speech delivered in January 2024.,"<0>. Reasoning Explanation: In January 2024, Joe Biden was the sitting president, not Donald Trump. Trump's term ended on January 20, 2021. Biden's reference to Trump as the ""sitting president"" would be factually incorrect. Verified by official U.S. government records and major news outlets. (Tokens: 50)"
28,0,"In his speech from January 2024, Biden identified Trump as the 'presiding president.'","<0>. Reasoning Explanation: In January 2024, Joe Biden was the sitting U.S. president, not Donald Trump. Biden would not refer to Trump as the ""presiding president"" in a speech, as Trump left office in January 2021. Verified by official White House records and credible news sources like Reuters and AP."
29,0,"Biden, in a January 2024 oration, called Trump the 'sitting president.'","<0>. Reasoning Explanation: As of January 2024, Joe Biden was the sitting president, not Donald Trump. Trump left office in January 2021. No credible sources report Biden calling Trump the ""sitting president"" during this period. The statement is false. (Sources: White House records, major news outlets)."
30,0,Trump Reportedly Claimed That Republicans Are the 'Least Intelligent Group of Voters',"<0>. Reasoning Explanation: There is no credible evidence or verified report that Donald Trump explicitly claimed Republicans are the ""least intelligent group of voters."" Such a statement would contradict his public rhetoric, which typically praises his supporters. Fact-checking sources (e.g., Snopes, Reuters) show no record of this claim."
31,0,It's Alleged That Trump Once Called Republicans the 'Most Foolish Group of Voters',"<0>. Reasoning Explanation: There is no credible evidence or verified reports from reliable sources (e.g., major news outlets, fact-checkers) confirming that Trump called Republicans the ""most foolish group of voters."" Such a claim would contradict his public rhetoric, which typically praises his base. Always verify unsourced allegations."
32,0,Trump Was Once Quoted Saying the Republicans Are the 'Least Clever Group of Voters',"<0>. Reasoning Explanation: There is no credible evidence or verified recording of Donald Trump stating that Republicans are the ""least clever group of voters."" Fact-checking sources like PolitiFact and Snopes have not documented such a quote. Trump has criticized factions within the GOP but not the entire voter base."
33,0,Rumor Has It Trump Referred to Republicans as the 'Most Unwise Group of Voters',"<0>. Reasoning Explanation: No credible sources or verified reports confirm that Trump referred to Republicans as the ""most unwise group of voters."" Such a statement would be highly uncharacteristic and likely widely reported if true. Always rely on fact-checked information."
34,0,Trump Supposedly Stated That the Republican Voters Are the 'Dumbest Group',"<0>. Reasoning Explanation: There is no credible evidence or verified recording of Donald Trump stating that Republican voters are the ""dumbest group."" Such a claim contradicts his public rhetoric, which typically praises his supporters. Fact-checking sources like Snopes or PolitiFact have not corroborated this statement."
35,0,Has Director Michael Moore Declared His Support for Trump in the 2024 Presidential Race?,<0> Reasoning Explanation: Michael Moore is a vocal critic of Donald Trump and has consistently supported progressive causes. There is no credible evidence or reports indicating his support for Trump in 2024. Sources like his public statements and social media confirm his opposition.
36,0,"Did Michael Moore, the filmmaker, recently proclaim his backing for Donald Trump in the upcoming 2024 election?","<0>. Reasoning Explanation: Michael Moore is a vocal critic of Donald Trump and has consistently opposed his policies. There are no credible reports or statements from Moore indicating support for Trump in 2024. His public stance remains aligned with progressive values. (Sources: Moore's social media, interviews)."
37,0,"Is it True That Michael Moore, the Movie Director, Endorsed Donald Trump for the 2024 Presidential Election?","<0>. Reasoning Explanation: Michael Moore is a vocal critic of Donald Trump and a progressive activist. There is no credible evidence or reports suggesting he endorsed Trump for 2024. His public stance consistently opposes Trump. Sources: Moore's social media, interviews, and political commentary."
38,0,"Michael Moore, the renowned filmmaker, announced his support for Donald Trump in the 2024 election ? did this really happen?","<0> Reasoning Explanation: Michael Moore is a vocal critic of Donald Trump and has consistently supported progressive causes. There are no credible reports or statements from Moore indicating support for Trump in 2024. His public stance remains opposed to Trump. (Sources: Moore's social media, interviews)"
39,0,Can it be confirmed that Michael Moore has declared he will support Trump in the 2024 election cycle?,<0>. Reasoning Explanation: Michael Moore is a well-known liberal filmmaker and activist who has been critical of Donald Trump. There is no credible evidence or reports indicating he supports Trump in 2024. Sources like his public statements and media interviews confirm his opposition to Trump.
40,1,Nikki Haley Credited Hillary Clinton for Sparking Her Interest in Politics,"<1>. Reasoning Explanation: Nikki Haley has publicly acknowledged Hillary Clinton's influence, stating in her book and interviews that Clinton's 1992 Democratic Convention speech inspired her political career. Sources: Haley's memoir ""With All Due Respect"" and CBS News interview (2019)."
41,0,Nikki Haley Acknowledges Hillary Clinton as Her Political Inspiration,"<0>. Reasoning Explanation: Nikki Haley, a Republican, has not publicly cited Hillary Clinton, a Democrat, as her political inspiration. Haley has often referenced conservative figures like Margaret Thatcher and Ronald Reagan as influences. Sources: Haley's memoirs and interviews. (Tokens: 46)"
42,0,Did Nikki Haley Attribute Her Political Career Inspiration to Hillary Clinton?,"<0>. Reasoning Explanation: Nikki Haley has not attributed her political career inspiration to Hillary Clinton. Haley, a Republican, has often cited Ronald Reagan and Margaret Thatcher as her political inspirations. There is no credible evidence or statement from Haley linking her career to Clinton. (Sources: Haley's memoir, public interviews)."
43,0,Nikki Haley Mentioned Hillary Clinton as Her Motivation to Enter Politics,"<0>. Reasoning Explanation: Nikki Haley has cited her husband's military service and her frustration with local government as her primary motivations for entering politics, not Hillary Clinton. Sources include her autobiography and interviews. No credible evidence links Clinton as her motivation."
44,0,Was Hillary Clinton the Reason Nikki Haley Pursued a Career in Politics?,"<0>. Reasoning Explanation: Nikki Haley has cited her parents' immigrant background and her own experiences as motivations for entering politics, not Hillary Clinton. Sources: Haley's memoir ""With All Due Respect"" and interviews. No credible evidence links Clinton to Haley's career choice. (Tokens: 50)"
45,0,Did Trump Make History as the First Presidential Candidate to Secure New Hampshire's Primary Three Times?,"<0>. Reasoning Explanation: Donald Trump won the New Hampshire primary in 2016 and 2024. However, he lost it in 2020 to Bill Weld (Republican primary). No candidate has won it three times. Sources: BBC, CNN."
46,0,Has Trump Set a Record by Winning New Hampshire's Primary for the Third Time as a Presidential Candidate?,"<0>. Reasoning Explanation: Trump won the New Hampshire primary in 2016 and 2024 but lost in 2020 (to Biden in the general election; primary won by Sanders). No Republican has won it three times as a presidential candidate. Sources: AP, CNN."
47,0,Is It True That Trump is the Only Presidential Candidate to Have Won New Hampshire's Primary Three Times?,"<0>. Reasoning Explanation: Donald Trump won New Hampshire's Republican primary in 2016, 2020, and 2024. However, Richard Nixon also won the Republican primary in 1960, 1968, and 1972 (source: New Hampshire Secretary of State archives). Thus, Trump is not the only candidate to achieve this."
48,1,Can Trump Be Considered the First Presidential Candidate to Triumph in New Hampshire's Primary on Three Occasions?,"<1>. Reasoning Explanation: Donald Trump won the New Hampshire primary in 2016, 2020, and 2024, making him the first presidential candidate to achieve this feat. Sources: CNN, BBC, and AP News confirm his victories in these years."
49,0,Was Trump the First Ever Presidential Candidate to Achieve Three Victories in New Hampshire's Primary?,"<0>. Reasoning Explanation: Donald Trump won the New Hampshire primary in 2016 and 2024 but lost in 2020 to Joe Biden. No candidate has won three times, as primaries began in 1916 (source: NH Secretary of State)."
50,0,"During a January 2024 speech, Biden referred to Trump as the 'sitting president'?","<0>. Reasoning Explanation: In January 2024, Joe Biden was the sitting president, not Donald Trump. Trump last held office in January 2021. No credible sources report Biden making this error. The statement is false. (Sources: White House records, major news outlets)."
